PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe
56509935,BATTERY CHARGER 230V AC / 24V DC 20 AMPS for Axle counter application TO RDSO SPECN.IRS.S.....,Dead Stock,Dead Stock,153896.84,C,Operational
565099636670,BATTERY CHARGER 110V/24/20A,Slow Moving,Very Slow Moving,0.0,C,Operational
565110000018,Battery box wooden to hold 3 cells,Dead Stock,Dead Stock,0.0,C,Operational
565110000018,Battery box wooden to hold 3 cells,Dead Stock,Dead Stock,0.0,C,Operational
565110000018,Battery box wooden to hold 3 cells,Dead Stock,Dead Stock,0.0,C,Operational
565110000018,Battery box wooden to hold 3 cells,Dead Stock,Dead Stock,0.0,C,Operational
565110000018,Battery box wooden to hold 3 cells,Dead Stock,Dead Stock,0.0,A,Operational
565110000018,Battery box wooden to hold 3 cells,Dead Stock,Dead Stock,0.0,C,Operational
56010011,BLOCK INSTRUMENT DOUBLE LINE - SGE,Active,Active,1356819.25,A,Operational
560200060022,BLV Contact Spring 145/146 for SGE.,Slow Moving,Very Slow Moving,250.0,C,Operational
56160010,Battery Charger 230V/24V 30 amps. As per RDSO Specn. No. IRS.S.86/2000 (Amndt.-4) or lates....,Dead Stock,Dead Stock,0.0,C,Operational
56160100,Battery Charger 230V  AC /24V DC 40 amps. to RDSO Specn. No. IRS.S.86/2000 (Amndt.-4) or l....,Slow Moving,Slow Moving,900234.0,A,Operational
540100050018,Block Bell equipment,Slow Moving,Very Slow Moving,0.0,C,Operational
541002290010,Bond wire clip,Slow Moving,Very Slow Moving,0.0,C,Operational
420433530046,STYORAGE BATTERY 12V 65 AH EXIDE,Slow Moving,Very Slow Moving,0.0,C,Operational
469000017328,VRLA Battery  2v  200 AH,Active,Monitor,0.0,C,Operational
469056800016,BLOCK INSTRUMENT FM TYPE,Active,Active,0.0,C,Operational
52156618,BATTERY CHARGER 230V AC / 24V DC 20 AMPS TO RDSO SPECN.IRS.S.86/2000 AMENDMENT NO.4 OR LAT....,Active,Active,75000.0,C,Operational
539800219048,Storage Battery  12V 80AH,Active,Monitor,0.0,C,Operational
603224571002,CRANK HANDLE GUIDE PLATE,Dead Stock,Dead Stock,0.0,C,Operational
909001280016,COLLER FOR PANNEL WITH LINE BLOCK STICKER,Slow Moving,Slow Moving,800.0,C,Operational
564680690014,CLS unit 4 Aspect,Dead Stock,Dead Stock,12000.0,C,Operational
56501006,PVC INSULATED CABLE 24C x 1.5 sq.mm,Active,Active,30719.84,C,Operational
56501018,PVC INSULATED CABLE 30C x 1.5 sq.mm,Slow Moving,Slow Moving,0.0,C,Operational
56507641,CHANNEL BOND PIN SINGLE GROOVE 7 mm DIA FOR 4 mm DIA BOND WIRE TO IRS-S-17-75 AND RDSO DRG....,Active,Active,68364.0,C,Operational
56509959,PVC INSULATED CABLE 12C x 1.5 sq.mm,Active,Active,0.0,C,Operational
56509960,PVC INSULATED CABLE  2C x 25 sq.mm,Active,Active,89226.91,C,Operational
567911540013,CURRENT REGULATOR SPARE,Dead Stock,Dead Stock,0.0,C,Operational
56110029,PVC INSULATED ARMOURED UNSCREENED UNDERGROUND POWER CABLE 3 C X 10 SQ.MM,Slow Moving,Very Slow Moving,238760.94,B,Operational
56119033,CABLE PVC INSULATED ARMOURED UNSCREENED RAILWAY SIGNALLING CABLE OF SIZE 19C x 1.5sqmm (RE....,Slow Moving,Very Slow Moving,0.0,C,Operational
56119537,PVC INSULATED CABLE 2C x 2.5 sq.mm,Active,Active,1157949.36,A,Operational
561548470010,CELL SECONDARY 4V/12AH,Dead Stock,Dead Stock,0.0,C,Operational
561800330011,CHANGE OVER SWITCH 1 WAY,Dead Stock,Dead Stock,4000.0,C,Operational
539818910375,2V/300AH SECONDARY CELLS,Slow Moving,Slow Moving,0.0,C,Operational
539820850015,CRANK ADJUSTABLE 12 X 18,Slow Moving,Very Slow Moving,8101.8,C,Operational
539820850015,CRANK ADJUSTABLE 12 X 18,Slow Moving,Very Slow Moving,8101.8,C,Operational
539826141002,CT Box  CAST IRON,Dead Stock,Dead Stock,2400.0,C,Operational
539826141002,CT Box  CAST IRON,Dead Stock,Dead Stock,2400.0,C,Operational
539896950811,CLS Unit 3 Aspect Main signal unit (FRP),Active,Active,755460.0,A,Operational
542100010067,Vertical Crank 300x300mm,Dead Stock,Dead Stock,0.0,C,Operational
542100010079,Ordinary Crank 12 X 12,Dead Stock,Dead Stock,0.0,C,Operational
542100010079,Ordinary Crank 12 X 12,Dead Stock,Dead Stock,0.0,C,Operational
542218842640,Control Panel for EOLB,Slow Moving,Slow Moving,0.0,C,Operational
555400140081,CLS POST 3.6 M,Active,Monitor,0.0,C,Operational
559000680018,CONTACT MAKER FOR BLOCK INSTRUMENT,Dead Stock,Dead Stock,0.0,C,Operational
401107470011,INDOOR CABLE 60 Core,Active,Monitor,11000.0,C,Operational
420294190010,CHANGE OVER SWITCH ROTARY TYPE 60A,Slow Moving,Very Slow Moving,5000.0,C,Operational
420427940015,Contact Maker 4 Way,Slow Moving,Very Slow Moving,0.0,C,Operational
460501250650,CONTACT RESISTANCE TEST PANEL FOR RELAYS (RELAY TEST KIT),Dead Stock,Dead Stock,0.0,C,Operational
501000400948,CT BOX MS SHEET IRON,Slow Moving,Very Slow Moving,0.0,C,Operational
50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80 AH CAPACITY,Active,Monitor,0.0,C,Operational
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH,Active,Active,336838.05,B,Operational
50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY.,Active,Monitor,523374.6,B,Operational
539805041006,Crank Handle FOR POINT MACHINE,Dead Stock,Dead Stock,7500.0,C,Operational
539812820017,CLS 2 ASPECT,Slow Moving,Very Slow Moving,6000.0,C,Operational
569019735451,DWC PIPE 103.5mm inner dia & 120 mm outer dia 6 MTRS Long,Active,Active,140929.06,C,Operational
72207413,"DRILL TWIST H.S.S. STRAIGHT SHANK JOBBERS"" 7.2 MM TO IS: 5101/1969, 5099/1983.",Slow Moving,Very Slow Moving,9058.5,C,Operational
725800037706,DIAL TENSION GAUGE (50-500Gram),Slow Moving,Very Slow Moving,0.0,C,Operational
725800137490,DIGITAL MULTIMETER (Fluke 117/EM ESP),Dead Stock,Dead Stock,0.0,C,Operational
565172840016,DATALOGGER Dual Internal Modem Card,Slow Moving,Very Slow Moving,0.0,C,Operational
565172841318,Data Logger AC DC CONVERTOR EFFTRONICS,Slow Moving,Very Slow Moving,0.0,C,Operational
560100140019,DYNAMIC HAND SET UNI PCB For Block Instruments?Double Line.,Slow Moving,Very Slow Moving,0.0,C,Operational
560608800010,Data logger EFFTRONICS GDT CARD,Slow Moving,Very Slow Moving,0.0,C,Operational
539830780010,DC-DC converterIP24VOP24-30/1AMP,Dead Stock,Dead Stock,192000.0,B,Operational
541500150015,Detection Roller for IRS Point Machine,Slow Moving,Very Slow Moving,15750.0,C,Operational
